,document,label
544,접어라,0
545,적은 제작비를 그나마 누가 갖다 쓴거 같음. 영화 곳곳이 허전하네 요렇게 영화평을 작년8월에 썼었는데 깜빡하고 또 봤어 전혀 기억이 안나. 똥폼잡고 시작하다가 허우적대다가 끝남,0
546,비디오로 봤었는데 잼있었습니다.,1
547,빵터지는 블랙코미디를 기대했지만 식상할뿐더러 살짝지루하기까지...,0
548,별점과대포장ㅡㅡ결국은다시원점인거아녀,0
549,"두 소년의 갈등에 일어 진정한 우정을 알게되는 스토리,. 눈물 먹음,,.",1
550,"쓸데없이 길게 질질끄는 공중파 드라마보다 훨씬 위대하다,.",1
551,정말 감동적이네요.. ㅠㅠ 진짜 재미있어요 안보면 후회할 그런영화!!,1
552,알렉스. 그의 정점을 찍은 작품,1
553,영화에 나오는 네팔 곡 노래제목이 뭔가요??궁금해요...ㅠㅠ,1
554,자동차 CF치고는 너무 길다.,0
555,처음엔 그럴듯하더니 조금 유치해지더라 그리고 조금 더 유치해지더니 왕창 유치해지고 나중엔 걷 잡을 수 없이 유치해지더라. 영화의 앞뒤가 너무 짜마춘 우연의 연속에 왜 둘이 좋아하는지도 전혀 설득력이 없는 억지 영화.,0
556,만화의 캐릭터와 실제 배역을 잘 맞춘 영화...,1
557,보고싶은 영화 ㅠㅠ ... 한국에도 빨리 개봉되었으면 좋겠네요~~,1
558,뭔가 많~이 엉성함...,0
559,보는내내 욕나온다 장르가 코미디란 걸 이해하지 못하겠다 찝찝하고 짜증난다,0
560,가슴이 따뜻해지는 영화에요 은주씨의 밝은모습도 볼수 있구요..많이 그립네요.ㅠ_ㅠ,1
561,이처럼 많이 울어본 영화도 드물다... 후반부 찔레꽃 합창이 나올때는 참았던 눈물이 터녔다... 모든것에 감사할수 있는 따뜻함을 느낄수 있는 100점짜리 영화이다!!! 강추!^^,1
562,젊은이들에게 꿈이 무엇인가를 생각하게해준다,1
563,3부작인거랑 영화가 별론거랑 무슨상관.그래도 엘리멋져서 3부작의3점줌 ^^,0
564,"지루한 억지 투성이의, 내가 본 최악의 영화 중 하나",0
565,이 영화 어디서 볼수있죠?,1
566,간디같은소리하고있네,0
567,사랑으로 쓰여진 스탈린시대.. 무섭고 아름답다. 그러나 너무도 가슴아픈..,1
568,역대 슈스케 시리즈중 5가 가장재미도없고 최악인듯,0
569,이런 영화를 볼 수 있어서 ... ㅠㅠ 이제 정말 아픔이 없었으면 좋겠는데 말이죠..,1
570,경박한 건 참는데 재미없기까지 해서 못참겠더라,0
571,아무 정보도 없이 간걸 후회했다. <그녀에게>를 미리 보고 갔더라면 더더 행복한 시간이었을텐데 그저 아쉬울 뿐...,1
572,웬만하면 더빙으로 보지마시길 진짜 못함,1
573,고딩때 극장에서 진짜 떨면서 본 기억이.. 베스트 공포/슬레셔물,1
574,비슷한 이야기의 홍수로 인한 처치 곤란.,0
575,어떤 캐릭터도 살수없도록 다 죽인 형편없는 각본과연출.,0
576,"주된 관객층이 어린이라는 것은 알겠지만, 영화엔 뜬금없는 설정과 유치한 슬랩스틱 그리고 틀에 박힌 교훈과 진부한 내용이 너무나 난잡하게 섞여있다.",0
577,영화도 그지같은게 길긴 왜이리 긴지...,0
578,^ㅇ^ 완전 재밋어요 마르잔 너무 귀엽네요,1
579,시대를 뛰어넘는 클래식한대작,1
580,"내가 지금 뭘 먹고 있는지 매순간 확인하게 됨. 적은 비용으로 더 많은 고기를 생산하려는 욕망은 어디서 비롯되었는지, 우리는 왜 몸이 필요한 것 이상의 고기를 먹고자 하는지? 까지 간다면 더 좋았을 것 같았다.",1
581,최근엔 접하기힘든 희귀영상,0
582,서세원따위가 안중근의사를 모욕했다. 유오성 연기가 아깝다. (2),0
583,실존 인물이라니 짜릿하다! 천재 프랭크 애버그넬리!,1
584,개노잼이였음솔직히 처음부터 끝가지,0
585,어린 나이에 닭목자르는 부분이 좀 충격이었다.,1
586,재밌게잘봤다 ~,1
587,쓰레기다,0
588,인천유나이티드 지금 깡패 축구하는거나 봐라,0
589,인천 정말 좋군요,1
590,아닌데 재미있는데 내일 보러갈거임,1
591,반환의 두려움인가 불안한 미래와 절망만 있을뿐 거지같은 영화,0
592,정말 소름끼치게 만드는군!,1
593,이 드라마에 감동받지 못하고 평점을 낮게 준 사람들이 불쌍할 정도로 재밌었다.최고,1
594,"우리의 현실을 표현. 재미보단 생각을 하게하는영화. 얻어지는 성숙함, 관계의 회복.",1
595,이런 환경적인 영화 좋네요. 나무가 없는 세상을 생각하면..,1
596,재미나게 본 영화.,1
597,옛날에 티비에서 본 기억이 난다 현실이 될수도있음 ㅋㅋ,1
598,채시라씨의 연기에 너무 감탄햇어요 ..병원복입고 지호집 현관문앞에서 친모가 채영랑이라며 이어질수없다하자 뒤에숨어서 우는연기에 진심 소름돋고 눈물이펑펑낫어요 ... 드라마지만 정말 모성애를 제대로 표현해서 실감나요,1
599,거짓으로 점철된 좌익 선동 영화. 0점을 줄 수 없다는게 안타까울 따름이다.,0
600,열자까지 쓸 필요가 없다 최고다,1
601,너 신고요.,0
602,더럽게 재미없다. 이딴걸 영화라고 처만들어? 2점부터 점수준것들 M창,0
603,중간에 나온 포장마차 아저씨 정말 생뚱맞더군...,0
604,"자아는 결국 세 가지로만 나뉘는 건가? 왕따, 인기인, 평범한 사람",0
605,시청률이 뭐라고 개인적인 방안에서 둘의 싸움까지 내보내냐 이게 사람 상식선에서 할수있는 짓들이냐 제작진 전부 다 옷벗어라 촬영할 자격없다 진짜 이슈에 미쳤다지만 이건 사람하나 매장시키는건데 진짜 돌앗다 지금 악플들봐라 너네가 한짓들이다,0
606,끝까지 진짜 가짜?만 생각하게 한영화 특이성은 있지만 답답한 영화 시작부터 답답한영화,0
607,다들 알바들인가? 왜이렇게 점수가후해.. 0점주고싶은데 안되서 1점줍니다~~,0
608,그냥 보지마 절대루 보고나면 내가 생각나,0
609,멋지다는 말밖에는! 이렇게 평온할수가!,1
610,막장드라마를 스크린으로 옮겨놓은게다인 영화.살인범 가정파탄범을 정당화시키자는건지 먼지 모르겠음.애매함..사랑과전쟁에 늘 나오는스토리 ?별반개도 아깝다,0
611,진짜재밌다 ㅋㅋㅋㅋㅋㅋ,1
612,내 시간이 아깝다 ㅡㅡ....,0
613,극장가서 돈내고 봤다. 영화가 끝난후 돈아깝다는 생각밖에 안들더라. 난 영화볼때 평점이 후한편인데 이건 1점도 아깝다.,0
614,별반개도 과합니다 ㅠㅠ 몇부작이길래 이런 스토리가 또... 지겹지도 않나요?? 저녁일일극에서 딸찾는걸로 장난치더니 쏠쏠하셨나봐요. 이번엔 아침드라마군요. 안그래도 요즘 속 뒤집어지는데 아침부터 대박 짜증터집니다,0
615,재밌었는데 이영화 망했나요? 그건 그렇고 홍성진이라는 분은 누군가요?,1
616,재미없고 비현실적 탈영은 하지말자 후배님들,0
617,엄마와 딸이 구멍동서사이가 된다는게 말이 되냐 현실성없기는,0
618,몇번을 봐도 너무 슬픈영화...ㅠㅠ,1
619,봤어도 내용이 기억이 나지 않는 영화.,0
620,처음과 달리 변질되어가는 내용에 오늘 참다못해 채널 돌려버렸어요. 말도 안되는 음모 짜증나요,0
621,예슬누님 너무 이뻐요ㅜㅜ 완전여신!!ㅋㅋ,1
622,전형적인 쓰레기 영화. 감독은 이거 보고있으면 좀 반성해라,0
623,3또는 4배속으로 봐야함. 그냥 보면 털림,0
624,매우 허접하다,0
625,스윙걸즈 다시봐도 순수한 감동이 밀려온다 꼭 연애 사랑이야기가 등장하지않아도 문제없는 일본영화 드라마들 중의 하나! 도호쿠지방 사투리도 정감가구 ㅋ.ㅋ 간만에 즐겁게 본 영화 ~~~,1
626,쓰 레 기 1점이 너무 아깝다,0
627,이건 공포물이 아니라 혐오물입니다. 그저 징그럽고 잔인할 뿐.. 비위 약하신 분들 절대 보지마세요. 그리고 <퍼즐> 이라고 해서 논리적인거 안나옵니다.. 기대하지마세요.,0
628,다문화 조장......,0
629,우리나라 위안부가 생각나면서 일본의 만행이 얼마나 잔인햇는지 다시금 느끼게 해준 영화.,1
630,처음에진짜재밌었는데별로여서안보다최근몇번봤는데 복수를하는건지마는건지재미도없고감동도없네요... 배우들급떨어뜨리는대본인듯,0
631,순정만화같은,0
632,처음부터 끝까지 봤었다. 최고였다.,1
633,아직도 when she loved me를 들으면 그냥 눈물이난다 ㅠㅠ 현존하는영화중 어릴적 추억 자극에 토이스토리만한영화는없다,1
634,쓰르라미랑 내용 겹치는거 보니. 혹시.?,0
635,상담 심리학을 준비하는 학도라면 봐야할 듯,1
636,요기요 오늘 이 드라마 보기 시작했는데 먹방 드라마인가요,1
637,그냥 케이블용 영화,0
638,10년 전 건데 지금봐도 재밌네...우마서먼 이땐 정말 이뻣구나! 비너스역 뷰티풀~!,1
639,크리처물의 기본 공식에 충실,0
640,정말 소름돋는 드마라 요세는 이딴거 못만드는가??,1
641,"지구반대편 축구잘하는나라로만 알던 아르헨티나의 근현대사에 관심을 가지게 된영화 영회야말로 가장효과적인 국가마케팅수단이 아닐까싶다 아쉬운게 왜 우리나라엔 이순신, 안중근의사같은 분들을주제로한 좋은영화가 만들어지지 않을까",1
642,완전 돈 아까운 영화.. 글구 19금으로 바꿔라.. 내용 좀 거시기 하더라..,0
643,액션영화인데.. 이정도로 지루한 영화는 첨본다,0
644,자유와 사랑을 꿈꾸는 사람이라면 좋을듯.. 세상은 참으로 아름답다,1
645,나도 너희한테 다가가고싶어ㅠㅠ,1
646,레옹(장 르노)을 별 비중도 없는 조연으로 갖다 쓴 어마어마한 영화ㅋㅋ,1
647,"정말 압권이다. 어떤 언어로 설명해내고 풀어내기에도 부족한 영화, 아니, 원초적으로 불가능한 영화다. 이 영화를 진정 이해하려면 얼마나 더 내 삶을 풍요롭게 만들어야 할까?",1
648,짱♥♥♥♥너무재밌어요!,1
649,더데이 상영 계약 파기된거 sm이수만이 한짓은 아니겠지 설마 jyj한테 외부압력 넣고 있는거 아닌가?,1
650,역시 천재 감독...풀기 힘든 소재를 자신의 스타일로 승화한 작품..,1
651,장난하나 슈렉의 장화신은 고양이가 오리지널이 되가고 있는데 짝퉁이나와가지고 장난하냐,0
652,이 영화를 보고 많이 실망을 했다.,0
653,난 재밌게 봤는데....,1
654,프레데터가 신도아니고 프레데터도 인간과같은 생물이에요. 죽을땐죽고 무슨 무적인마냥 생각하고있지.. 비평하는분들,1
655,아쉬운점도 있지만 나쁘지 않은 영화,1
656,대학 동아리에서 만들어도 이것보단 사실적으로 만들겠다.,0
657,good good good,1
658,또봐도 재밌음ㅋㅋㅋㅋ,1
659,빨리 좀 끝내라 ㄷㄷ 지겹지도 않냐?,0
660,캐서린 제타 존스의 뷰티풀 하우스,0
661,박유천 유승호연기짱!!,1
662,할렐루야 아멘,0
663,너무 따뜻한 이야기..,0
664,미우나 고우나 내아버지....,1
665,"걸륜, 정말 후지게 나옴 걸륜팬은 안보는것이 정신건강에..린즈링 땜에 겨우 참고 봄.",0
666,별반개도아까운 쓰레기꼴데,0
667,네이버 평점에 속지 말자. 궁상맞은 숀펜의 암살.,0
668,프랑스영화의 농밀한 매력. 정말 독특하고 좋은 영화였습니다.,1
669,행복할때 만든 요리는 독설 비평가의 마음까지도 움직였다,1
670,최고의 영화.이나영의 네멋과 맞먹는 리즈작,1
671,이딴 쓰레기 드라마좀 그만 만들어줘... 제발! 별 반개도 아깝다!!!!,0
672,돈아까워,0
673,무섭다잉아앙ㄱ룽ㅠㅠ,1
674,캐나다는 영화를 발로 만드나,0
675,"TV스타들의 출연이지만 연기, 연출, 줄거리등 모두최악!",0
676,ㅇㅇ,0
677,이 영화를 보면서 정말 많은 것을 느끼고 많이 울었다..,1
678,간만에 멋진 로드무비....,1
679,잔혹한 야쿠자의 세계. 미화드라마 따위는 개나줘버려라.,1
680,명작이다.,1
681,손발이 족발이 될때까지 오글거려라,0
682,아 놔,0
683,보고 느끼는 걸로... 충분한 다큐멘터리... 나도 이렇게 건축이 변했으면 한다.....,1
684,"No 에로틱, No 미스테리, No 스릴... 지겹게 흐르는 시간",0
685,20살때 봤다.. 아직도 생생하게 기억난다. 대한민국 공포영화의 현주소.,0
686,무각본이라 그런지 어색하고 지루하면도 있어서 재미없었음.. 끝까지 보려고 했는데 포기 달달한 장면도 딱히 없고 내용이 너무 두서가 없음 보다만 영화는 처음임..,0
687,진짜 매력터집니다!!강추!!,1
688,짜증 지대로다.,0
689,소파에 죽 치고 앉아 지켜 볼 이유가 없는 작품.,0
690,ㅜㅜ모두모두좋아죽겟구려,1
691,"조잡한 내용에 터무니없는 길이, 코스트너표 자화자찬식 영웅담에 동상까지 나온다",0
692,요리는 대충해도 얼굴과 빽으로 나오는 요리사들이 공중파 채널 낭비중.,0
693,아 이게 영화냐? 욕나올라는거 참고 후기남긴다.에로냐? 다큐냐? 그것이 알고싶다.,0
694,아만다의이런시절이.ㅋㅋㅋㅋ,1
695,총도 못쏘는 찌질이 주인공 때문에 짜증나는 영화,0
696,마지막에ㅠㅠ 감동임ㅎㅎ,1
697,TTL로 쌓은 이미지 성냥팔이 소녀 재림과 여고생으로 와르르..ㅠ,0
698,개인적으로 신세계보다 더 재밌게 봤음. 너무 진지하지도 너무 가볍지도 않은 연출,1
699,정말..억지스럽다....,0
700,"대사돌리는 거나, 역한 서기 연기나... 스토리도 그렇고... 놀랍다.",0
701,유쾌하고도 마냥 이쁜영화... 특히 여배우는 스타일 작렬ㅋ,1
702,알바 많이 풀었나보네. 이거 보자던 친구놈 때려죽이고 왔는데,0
703,제목을 빌려쓴 일본 만화 가 아깝다. 감독이 의대 출신 맞나?,0
704,왠지모를 색다른 감동을 주는영화이다....,1
705,아기가 넘좋아해읍니다 과학적으로 많이 공되어읍니다,1
706,깡패새키 미화시킨 개허접 영화.,0
707,아이언맨이 왜 인기많은지 알겠다 재미있음 ㅠㅠ,1
708,졸았어요 재밌다 그래서 너무 기대했나봄ㅠ,0
709,본격 조조를 미화한 영화,0
710,마냥 유치하진 않고 재밌네요,1
711,1분만 보면 영화의 모든걸 볼수있음,1
712,Everythig is gonna be all right 캬아~ 취한다 다른 말이 필요한가요?,1
713,이게 영화냐?,0
714,쌍둥이에 대한 진부하고 편협한 감성과 지난한 호흡의 이중고.,0
715,나도 평점맞추기 해야지,0
716,이렇게 재미없는 영화는 용가리 이후 2번째다...와 진짜 미친다,0
717,아이들이 뭘 하고싶은지 강요하지않고 별거아닐지모르는 특기를 살리는것이 사랑스러웠다 너무 사랑스러운느낌이었다,1
718,대작의 냄새가 난다..킁킁킁,1
719,보면아십니다,1
720,오빠들이니까 무조건10점!,1
721,이영화는인생을 말하는것입니다. 여기서 사라지는 것은 나이를 먹든 병에 걸려 죽든 죽음을 의미하는거죠 그렇게 점점 사라진다는 깊은뜻이있습니다. 마지막에 별에기를 하는데 그것을잘이해하면 알수있습니다.,1
722,좀비물 치고 눈물도 있고 감성이 풍부해지는 영화임. 개인적으로 김태용 감독의 작품이 젤 좋았슴. 한국좀비물 중에선 최고!,1
723,요리실력 없는 여자가 조미료만 이것저것 마구 뿌려놓은 듯한....,0
724,개봉하자마자 극장가서 보고 펑펑울고 나왔었는데오랜만에 다시한번 또 보고 펑펑 울었습니다.정말 제 인생 최고의 영화인것같네요,1
725,짱별로,0
726,"꼬맹이들의 영웅담!! 삽입곡도 좋았고, 스즈키안은 이때가 낫고 ㅋ",1
727,이야기의 구성과 재구성. 청춘의 편린.,1
728,민들레부모가 전하는 아가페적인사랑...가슴으로 낳은 행복의씨앗,1
729,초반에는 유머코드도 괜찮고 김하늘의 매력에 빠져 재미있게 봄. 중반부 넘어서면서 어설픈 첩보와 액션으로 지루해짐. 평점이 8점을 넘고 400만이 넘는 관객을 동원했다는 사실이 놀라움,0
730,감독 새끼 꼴에 각본까지 쓴다고 각본의 절반이 빠킹이네. 전작 엔드오브와치도 마찬가지. 1시간 50분동안 울려퍼지는 빠킹 때문에 귀가 얼얼하다.,0
731,공포 영화인데.. 효민 몸매만 기억에 남는다..도대체 이 연출력을 어찌할거냐... 쩝,0
732,왜 한국영화를 이렇게 만들냔 말이다 ㅋㅋㅋㅋ전기세아깝게만드네 열받아서 로그인햇다,0
733,시나리오는 독특 했다... 근데... 몰입이 전혀 안된다...,0
734,박민우씨 가끔은 남을위해 생각하지말고 자신을위해 생각해요 배려하곷싶은 마음은이해하지만 남들한테는 안좋게 보일수있어요...,1
735,유치 허접.,0
736,이렇게 끝나면 사람들이 놀랄것같았나...,0
737,이런 감동...삶의 희망이 된다,1
738,영상미에 환장해서 계절이 막 바뀌고 반전에 미쳐서 죽었다가도 살아나고 극장에서 사람들 어이없어 웃던 기억이 난다.,0
739,"007의 힘은 빠졌지만, 재미있었음",1
740,무슨소리인지 모르겠다 -_- 주연배우들.. 여기 왜 나왔을까..,0
741,"극장에서 봤었는데, 여자들 꺅꺅 소리가 더 무서울 지경이었다. 영화는 매우 잘 만들었다. 1편과의 연관성있는 탄탄한 스토리에서 높은 점수를 주고싶다.",1
742,애들이 보기 좋을 거 같아요~^^,0
743,학원물치고는 자극적이고 막장적인 설정이 거슬린다.,0
744,"몸매는 굿, 스토리는 보통, 연기는 꽝",0
745,귀신과 함께 관절꺽기춤을~,0
746,신의 한수와 쌍으로 쓰레기 영화내요.울나라를 대표한다는 배우들..쪽팔린줄알아야지.감독이 저따구로 찍었으니 그들도 당한건가?그래도 통장에 쌓이는건 변함없으니 뭐라말은 못하고?딱 빈골여 수준의 영화.,0
747,"그 유명한 휘트니 휴스턴의 OST는 좋고, 두 배우는 잘 어울린다. 하지만 가수와 보디가드의 사랑은 가수를 죽이려 하는 범인의 이야기와 전혀 맞지 않고 어색하게 진행된다. 또 휘트니 휴스턴의 캐릭터는 너무 변덕이 심해서 몰입되질 않는다.",0
748,"별점 높을 이유가 없는 영화. 누구나 만들 수 있는 영화를 그럴듯하게 포장한 느낌이다. 다른 사람들은 무슨 생각으로 높은 별점을 준지 몰겠지만, 재미도 감동도 느낄수 없었다.",0
749,1939-1940 핀란드와 소련의 겨울전쟁을 제대로 그린 전투영화..,1
750,주윤발은 위조지폐일하니까 돈이남아돌아 돈태우고 거기에 담배불부 쳤지만 송승헌은왜 돈이남아돌지도 않는데 거기 에다담배불 부칠까,0
751,왕조현을 가장 예쁘게 찍어놓은 영화,1
752,"어색한 연기,각자 서로 다른 상대에게 사랑을 기대했다가 완전 새 된 두 남녀 그리고 뻔한 스토리",0
753,그것을 가진자..,1
754,꽤 재미있었다. 하지만 만점을 주고싶다,1
755,슬프고도 아름다운 영화,1
756,"오랜민에 몰입해서 보았던 최고의 영화,,,",1
757,이정희 때문에 10점. 그녀가 출연한 유일한 영화.,1
758,당시 한국영화로서는 준수하다.,0
759,이건 쫌 ㅋㅋ,0
760,향수를 불러일으키는 90년대 영화 중 하나,1
761,미국에대한 환상을 부숴버리는 영화,1
762,걸작이란 이런것.,1
763,내가 본 하우스호러중에 최악이네 여주인공이 아깝다.,0
764,모든 에피소드들이 다 재미있다!!! 나오는 캐릭터들도 전부 소중하고~ㅋ,1
765,여자 때리는 장면 나올때 알아봤다 역시 대륙 별 반개도 아깝다,0
766,님들 무뇌 인것 같네요 노답,0
767,그냥 드라마 한편 본 느낌,0
768,참 잘만든 영화다. ~~♡♡,1
769,미국코미디는 정말 나하곤 안맞는갑다.보는내내 유치하고 지루하고..,0
770,조금은 신비로운 느낌이 들었던 영화인 것 같았습니다. 인물의 성격이 논리적인 이해보다는 알다가도 모를 우리들의 사랑(?)을 오히려 공감적으로 접근하지 않았나 생각됩니다. 그리고 주황색니트 여자 주인공이 너무 이뻣어요ㅎ 남자 나빳어...메리크리스마스 ㅠ,1
771,"왜 청소년 관람불가였는지 이해가 되지 않는데다, 그 '어느 하녀'는 결국 돈과 사랑을 위해 모시고 있는 귀족의 물건을 훔치는 범죄에도 동참할 수 있다는 것 외에는 별 내용도 볼 거리도 없는...",0
772,별로다,0
773,실화고요 진짜 재밌습니다.음악도 멋있고,1
774,3시간 가까운 시간에 완전하게하는 리얼리즘.,1
775,평점 믿구 봤다가........................................................................,0
776,식스센스 스포당한게 너무 화나서 그 후로는 영화내용이 안들어온다,0
777,"팜므파탈, 반전, 자동차 추격씬.. 원초적 본능이 이 영화에서 영향 받은 듯.",1
778,이거 진짜 웃겼는데 ㅋㅋㅋ 투가이즈이후 최고로 웃은 한국영화ㅋㅋ,1
779,클레어 보려고 봤는데 너무 지루하네요;;,0
780,캍타다가소우자먀수오,0
781,맞춰야지 맞춰야지요 맞출거야임,0
782,섬찟하다.. 왠 10자 타령..,1
783,이런 영화가 어떻게 점수가 높을까? 솔직히 너무 지루하고 볼만한 장면이 없는데,0
784,하나도안잔인하고재밌음,1
785,원작의 품격을 깡그리 무시한 헐리우드 싸구려 감성이여~~,0
786,돈아까운영화 12세 미만의아이가 보면 적당할 것 같은 영화.,0
787,이 영화 한줄 평? 도로에서 로드킬 당한 고양이 시체와 눈 마주친 느낌.,0
788,엄청재밌어요정의성굳,1
789,"스토리,음악,미장센 모두 최고입니다.놓치지마세요.",1
790,진짜 명화는 다 보고나서 계속 생각나는 것. 왕가위감독의 영화는 '사랑해'라는 대사 하나 없이 가슴이 찌릿찌릿 해진다.,1
791,"어차피 무리인 소설 원작을 재현할 생각 말고, 차라리 영화 나름의 각색을 하는게 더 나았겠다. 이건 뭐 그냥 생뚱맞네. 캐릭터 깊이도 없고, 몰입도 안되고, 감독 혼자서만 감정잡고있고, 영상도 작위적. 아예 헛웃음만 나오더라. 트란안훙꺼 이제 안볼거다",0
792,연기..진짜 개못한다 김창완쌤때메 그나마 재미없는영화조금살린거,0
793,별로좋지 않았습니다....,0
794,이 영화가 평점이 5점대라는걸 보면 네이버 영화 평점시스템이 개판이라는거 알수있다. 비단 이 영화뿐만이겠냐만은..,1
795,여배우가 너무이뻐서 비디오 구간반복재생했던기억나네,1
796,오..알바들 많은데? ㅋ,0
797,공감되지 않는 그들의 야만스럽고 미개한 사랑이야기,0
798,오래전부터 기대햇건만..,0
799,진짜감명깊게봄 에드워드노튼의연기가인상적임,1
800,여태껏 본 영화중에서 제일 재미없었다,0
801,재미가 ....없네요,0
802,코미디?? 농담아니고 어떠한 씬에서도 웃은 적 없었다..,0
803,이거 재미있어요,1
804,골목에서 강간 살인을 어케 하냐. 아무리 싸게 만들었다지만 너무 비현실적이라 몰입이 되지 않는다. 사제가 무릎 하나에 여자를 앉히질 않나. 촌구석 다방 레지도 그렇게 앉으라고 하면 미친 ㅅㄲ라고 욕한다.,0
805,주인공을 너무 무적으로 표현했네....,0
806,개급 홍콩 액션. 그 마이인가 하는 여자 쌈빡한 얼굴과 액션은 보기 좋았다.,0
807,생각없이 채널 돌리다가 몇번이나 보게 되었는데 최고요!,1
808,소재는 신선한데 보는 내내 마음이 불편함... 그냥 가슴이 답답해짐..,0
809,불량식품이 맛까지 없다니,0
810,어제보고 오늘 또 봐도 재밌음,1
811,"점점 재밌어지는 드라마입니다. 다음주가 기대됩니다.지금은 말썽쟁이, 철딱서니지만.. 점점 정신차리고 미림이에게 돌아갈 승기(서인국님)이 기대됩니다~서인국님..생일 축하드려요~ ^^",1
812,오션스시리즈중 단연 최고!!!,1
813,설정도 이런억지설정이없다ㅋㅋㅋㅋ 아니 중사하사들이 폰도안들고다니고 중사는 멍청한건지 영웅이되고싶은건지 쩝..ㅋㅋ 현실의군대와 괴리감이너무커서 몰입이안됨..,0
814,무슨 말이 더 필요함? 그냥 쳐박아버려야될 비디오테잎이지,0
815,빈정대고 투덜대는 왕년의 스타란 꽤 매력있는 아이템,1
816,정말 배경과 설렘 너무 좋음~~,1
817,왜곡 예찬!,0
818,처음엔 너무 뻔하고 진부하단 생각이 들지만....... 순수함에 마음이 따스해지는 그런 영화! 멋진 CG와 기막힌 스토리나 빼어난 연기력만이 영화가 아니라....... 영화란 메세지가 아닐까 생각한다.,1
819,"바쁜아빠 때문에 엄마는 바람피고 애기 놓고.. 영화 끝.도대체 뭐가 감동이고, 재미가 있는지..",0
820,후리오나 밤볼라나 똑같이 민폐형 인간. 기분 제대로 드러워졌다,0
821,그냥 놀래키기만 할뿐 그냥 불쾌한 영화다,0
822,돈이 튀냐... 높지않은 개런티의 배우들만 많이 모아서 2탄만 만드면 흥행에 성공하는가... 국내영화의 질을 낮추는...,0
823,계속 여운이 남는 드라마,1
824,매혹이 나니라.. 가혹 일쎄 ...,0
825,사람들이 영화를 볼줄 모르는듯...나는 이거 컴퓨터에 저장해놓고 몇번이나 봤는데 ... 조니뎁의 연기가 좋고 내용도 반전있음 ㅋㅋ,1
826,"""""""결전""""은 재밌기라도했지 2003년홍콩쓰레기영화 솔직히 1점도아깝다""",0
827,끝까지 긴장되고 마지막에는 주인공과 같이 희열. 스토리 조립을 어떻게 이렇게 잘했을까 개연성 문제도 없고 보는 사람이 주인공의 혼란스러운 내면세계 속에 들어가게 만든다,1
828,난 만화는 안봤지만 영화는 참재미있게 본ㅋㅋ,1
829,최고,1
830,못됐다 이런 나쁜!,0
831,영화 중간중간의 OST가 전혀 들리지 않았다.폴포츠의 노래소리만 들릴뿐.폴이 노래할 때마다 눈물샘 고장낭..,1
832,고소영의 캐스팅으로 이슈는 됏엇지만... 이영화의 흥행실패요인중 가장 일등공신이기도한 장본인... 어설픈 연기가 그대로 ....공포영화중 최악이엇다..,0
833,보는 내내 훈훈한,1
834,게리올드만 멋진배우 벗뜨 공화나 민주나 모두 미국만세,0
835,헐리웃영화 따라한건가 ㅋㅋ,0
836,그냥 최고입니다.^^,1
837,지루한 영화,0
838,평점 훌터보니 알바가 있다,1
839,크윽...이것이 내 항마력의 한계인가? 그럴 리가 없어!,0
840,드라마가 최악이다 진짜 볼가치가없다 배우들이 불쌍해..강윤재랑 이어지면 진짜 욕하면서 평점쓴다.. 이게 뭔 드라마야.. 가족이란 주제가 아니잔아..,0
841,최고의드라마♥♥♥이민정 공유 흥해라♥♥♥,1
842,신은경 연기도 어색하고 스토리도 헐겁네. 영화의 설계를 어찌 이 모양으로 해놨을까?,0
843,"그녀의 재능은 천재 투우사, 그러나 그녀의 운명은 독사과...",1
844,홧팅,1
845,싫어 ㅡㅡ,0
846,재미있게봤어요ㅋㅋㅋㅋ,1
847,평점이 6.66,0
848,완전욱김 ㅋㅋ제이크오빠 완전이미지변신!,1
849,하두 김기덕김기덕해서 왜저러나 싶었는데..이 영화한편을 보니까 딱 알겠더라..모르시는분들은 봐보세요. 자세하게,1
850,어린이집 재롱잔치를 만원주고 보는 기분이라면,0
851,"과연 이게 실력있는 래퍼프로그램인지, 인기몰이 인지 정말 웃기다.",0
852,재미있음재미있음 ㅎㅎ 끝까지 진실인지 사기인지 흥미진진,1
853,생각보다 영화화를 잘 만든 것 같아요.,1
854,대실망 ㅡㅡ^ 연재 후반정도에 상당히 강해졌었는데~ 이건 뭐.....,0
855,ㄵ 5점대asfgsdlgkbjsjvb,0
856,"""논스톱시청 감정선 쭈욱 이어진 캐릭터도 캐스팅도 스토리도 OST도 다 좋은 군더더기 없는 진행 """"가족은 군도 같은 것 """"""",1
857,엌ㅋㅋㅋ 개웃겨ㅋㅋㅋㅋ,1
858,이야기도보통재미있고. 10점정도는아니라고봐요.5점6점정도인데 고릴라제작한거도 잘했긴했고.하지만 감동은 보통..아쉬운결말,0
859,봐라 누구의 말이 맞는 지,1
860,완전 잼없어!!불만이야!!난 넘 잼 없어!!5개 별 하신 분 재미없걸랑여!!,0
861,말코비치? 말코비치!,1
862,조용히 잔잔하게...그러나 평생가슴에남을영화..나이트에게 반했어~^^ 팡팡터지고쿵쿵되지않아도충분히긴장감있고소름대는영화,1
863,평점너무 낮다 영화 너무 좋음 감독도 좋음,1
864,"스토리 별로,,, 연기력 별로,,, 임팩트 뭐 있었나,,,, 아이유짱",0
